id,name,charactaristic,category_id
124,palmitic acid,A saturated fatty acid used in food and industrial applications.,3
125,oleic acid,"A monounsaturated fatty acid found in oils like olive oil, used for health benefits.",3
126,linoleic acid,"An essential fatty acid found in vegetable oils, important for human nutrition.",3
127,diacetyl tartrate monoglyceride,An emulsifier used in food production to improve texture and stability.,4
128,succinic acid monoglyceride,An emulsifier and stabilizer used in food and pharmaceutical applications.,4
129,lavender essential oil,An essential oil known for its calming scent and antimicrobial properties.,3
130,geranium essential oil,An essential oil used for its floral aroma and skin benefits.,3
131,chamomile essential oil,"An essential oil derived from chamomile flowers, used for its calming properties.",3
132,neroli essential oil,"An essential oil extracted from orange blossoms, valued for its floral fragrance.",3
133,sweet orange essential oil,"An essential oil with a sweet citrus aroma, used in food and cosmetics.",3
134,grapefruit essential oil,"An essential oil with a fresh citrus scent, used for its aromatic properties.",3
135,bergamot essential oil,"An essential oil extracted from bergamot oranges, used in aromatherapy and flavoring.",3
136,melissa essential oil,An essential oil known for its calming and uplifting properties.,3
137,eucalyptus essential oil,"An essential oil with a fresh, minty scent, used for its antimicrobial properties.",3
138,clay sage essential oil,An essential oil known for its herbaceous aroma and calming effects.,3
139,sweet marjoram essential oil,"An essential oil with a warm, woody scent, used in aromatherapy.",3
140,unscented coconut oil,"A refined form of coconut oil, used in cooking and cosmetics.",3
141,medium chain fatty acid oil,"MCT oil, known for its quick energy release and health benefits.",3
142,calcium propionate,A food preservative used to inhibit mold and bacterial growth in baked goods.,4
143,gellan gum,"A natural gelling agent derived from bacteria, used in food and industrial applications.",1
144,control,Material used as a baseline in experiments.,4
145,grape pomace extract (GPE),"A byproduct of winemaking, rich in polyphenols with antioxidant properties.",4
146,wine lees extract (WLE),"A byproduct of wine fermentation, containing antioxidants and nutrients.",4
147,xanthan gum,A polysaccharide used as a thickener and stabilizer in food products.,1
148,sodium nitroprusside (SNP),A chemical compound used as a nitric oxide donor in research.,4
149,mentha piperita L. essential oil,"Peppermint essential oil, valued for its cooling effect and aromatic properties.",3
150,glyceryl palmitostearate,A fatty acid ester used as an emulsifier in food and cosmetics.,3
151,polysorbate 80,An emulsifier used to stabilize oil-water mixtures in food and pharmaceuticals.,4
152,zinc oxide nanoparticles,ZnO nanoparticles used in antibacterial coatings and food packaging.,4
153,hawthorn leaf extract,"An extract from hawthorn leaves, rich in antioxidants and used in herbal remedies.",4
154,pomegranate seed oil,"An oil rich in antioxidants and fatty acids, used in cosmetics and health products.",3
155,plasma-activated hydrogen peroxide solution,A sterilization solution enhanced with reactive plasma species.,4
156,silver-coated silica nanoparticles,"Nanoparticles with a silver coating, used for their antimicrobial properties.",4
157,mandarin essential oil,"An essential oil extracted from mandarin peel, known for its sweet aroma.",3
158,orange peel essential oil,"An oil extracted from orange peel, used for its fragrance and antibacterial properties.",3
159,carnauba wax,"A natural wax from the leaves of the carnauba palm, used in coatings and cosmetics.",3
160,ammonia,A chemical compound used in food and industrial applications.,4
161,triethanolamine,A chemical used as a pH adjuster in cosmetics and industrial products.,4
162,none,No specific material assigned.,4
163,none,No specific material assigned.,4
164,chlorine,A chemical element used in disinfection and water treatment.,4
165,ocimum tenuiflorum leaf,"Leaves from holy basil, used for their medicinal and aromatic properties.",3
166,ylang-ylang essential oil,"An essential oil with a floral aroma, used in perfumes and aromatherapy.",3
167,ylang-ylang essential oil,"An essential oil with a floral aroma, used in perfumes and aromatherapy.",3
168,opuntia ficus-indica mucilage,"A mucilage derived from prickly pear cactus, used as a thickener and stabilizer.",1
169,chitosan,"A biopolymer derived from chitin, used for its antimicrobial and film-forming properties.",1
170,carboxymethyl cellulose,A cellulose derivative used as a thickener and stabilizer in food and cosmetics.,4
171,flaxseed mucilage (Mu),"A mucilage derived from flaxseeds, used for its thickening and film-forming properties.",1
172,postbiotics,"Metabolic byproducts of probiotics, used for their health benefits.",4
173,gum arabic,"A natural gum derived from acacia trees, used as a stabilizer and emulsifier.",1
174,carrageenan,"A polysaccharide extracted from red algae, used for its gelling properties.",1
175,peach gum,"A natural polysaccharide with film-forming and antioxidant properties, secreted by peach trees.",1
176,lactobacillus paracasei (LPC),A probiotic strain used for gut health and food preservation.,4
177,lactobacillus rhamnosus (LGG),A probiotic strain known for its digestive health benefits.,4
178,lactobacillus plantarum (LP),A probiotic strain with antimicrobial and digestive health properties.,4
179,locust bean gum,"A polysaccharide derived from carob seeds, used as a thickener and stabilizer.",1
180,pracaxi nut oil,"An oil rich in behenic acid, used for hair care and anti-aging applications.",3
181,extra virgin olive oil,"High-quality olive oil extracted without heating, known for its health benefits.",3
182,postbiotics,"Metabolic byproducts of probiotics, used for their health benefits.",4
183,hyaluronic acid,A biopolymer used for its hydrating and skin-plumping properties.,4
184,gellan gum (GG),A polysaccharide used as a gelling agent in food and biotechnology.,1
185,methyl red,A pH indicator dye used in microbiology and chemistry.,4
186,bromothymol blue (BTB),A pH indicator dye used in laboratory applications.,4
187,tannin acid,A polyphenol used in leather tanning and as astringent in medicine.,4
188,silk fibroin,"A protein derived from silk, used for its strength and biocompatibility.",2
189,silk protease inhibitors,"Proteins that inhibit proteases, used in biomedical applications.",2
190,thyme essential oil (TEO),"An essential oil with antimicrobial and aromatic properties, derived from thyme.",3
191,aspergillus flavus,"A fungus known for producing aflatoxins, which can contaminate food.",4
192,LCNF,Lignocellulose nanofibers used in biocomposites and packaging.,1
193,raspberry extract,An extract rich in antioxidants and phenolic compounds.,4
194,pullulan,A water-soluble polysaccharide used for its film-forming and adhesive properties.,1
195,acetic anhydride,A chemical used as an esterifying agent in industrial applications.,4
196,propionic anhydride,A compound used for modifying polysaccharides to improve barrier properties.,4
197,butyric anhydride,A chemical used for esterification in industrial and food applications.,4
198,calcium gluconate,A calcium supplement used to enhance firmness in fruits and vegetables.,4
199,acetic acid,A natural preservative used for its antimicrobial properties.,4
200,calcium chloride,A compound used to maintain firmness in food and as a preservative.,4
201,lactic acid,An organic acid used in food preservation and as a flavoring agent.,4
202,fructose,"A natural sugar found in fruits, used as a sweetener.",4
203,amylose,"A linear polysaccharide component of starch, used for its film-forming properties.",1
204,low methoxyl pectin,A pectin used for low-sugar and low-acid gelling.,1
205,persian gum,A natural gum used for its stabilizing and emulsifying properties.,1
206,tragacanth gum,A natural gum used as a thickener and emulsifier in food and pharmaceuticals.,1
207,kiwi seed essential oil,"An oil extracted from kiwi seeds, used for its antioxidant properties.",3
208,sodium carboxymethyl cellulose,A cellulose derivative used as a thickener and stabilizer.,4
209,new material3,Material for experimental use.,4
210,nano selenium,A nanoscale selenium material used in health and industrial applications.,4
211,yam bean starch,"A starch extracted from yam beans, used in food products.",1
212,agarwood bouya essential oil,An essential oil known for its aromatic properties.,3
213,reuterin,"A natural compound produced by Lactobacillus reuteri, used as a preservative.",4
214,carotenoprotein,"A protein associated with carotenoids, used for its functional properties.",2
215,botrytis cinerea,A fungus known for causing gray mold in fruits.,4
216,starch,A carbohydrate polymer used as a thickener and stabilizer in food.,1
217,sodium hydroxide,A strong base used in cleaning and industrial processes.,4
218,tocopheryl acetate,A form of vitamin E used in skincare and health supplements.,4
219,cross linked maize starch,cross linked maize starch,1
220,grape juice,grape juice,1
221,grape seed extract,"OC1C(OC2C(C3=CC=C(O)C(O)=C3)OC4=CC(O)=CC(O)=C4C2)(C5=CC=C(O)C(O)=C5)OC6=CC(O)=CC(O)=C6C1O
",4
222,quinoa protein,quinoa protein,2
223,chitosan(5kDa),Chitosan with a molecular weight of 5000,1
224,chitosan(19kDa),Chitosan with a molecular weight of 19000,1
225,chitosan(61kDa),Chitosan with a molecular weight of 61000,1
226,cinnamon essential oil,cinnamon essential oil,3
227,ethanol,ethanol,4
228,carboxycellulose nanocrystal,carboxycellucose nanocrystal,1
229,zinic oxide (I),zinic oxide typeⅠ,4
230,zinic oxide (II),zinic oxide Ⅱ,4
231,salicylic acid,salicylic acid,4
232,tea polyphenols,tea polyphenols,4
233,horseradish peroxidase(HRP),horseradish peroxidase,2
234,polyethelene glycol (PEG) 800,Polyethylene glycol (PEG) 800,1
235,phosphate buffer,i,4
236,cold-pressed sesame oil,CAS番号: 8008-74-0。オレイン酸とリノール酸の比率が1:1で、総含有量80%。セサモール、セサミン、セサモリンなどの不けん化物を含み、抗菌・抗酸化特性を持つ。高いビタミンE含有量により酸化安定性が高い,4
237,L-Cysteine,"cid: 5862
含硫アミノ酸の一種。CAS: 52-90-4。分子式: C3H7NO2S（分子量: 121.16）。SH基を持ち還元性を有する。タンパク質に広く分布し特にケラチンに多い2710",4
238,ethyl alcohol,"エチルアルコール
123093
CMCコーティング溶液の調製に使用（水との比率3:1）。乾燥時間を短縮し、透明で光沢のあるメチルセルロースコーティングを得るために使用される1。",4
239,Phenolphthalein solution,a,4
240,ethyl ether,a,4
241,hydrochloric acid,a,4
242,Green Tea Essential Oil,a,4
243,Starch Nanocrystals,a,4
244,Potassium hydroxide,a,4
245,Carvacrol,a,4
246,Zein,a,4
247,Polyethylene Glycol 6,a,4
248,Natamycin,a,4
249,Epigallocatechin gallate,a,4
250,Water,a,4
251,microcrystalline cellulose,a,4
252,absorbent cotton,a,4
253,silver nitrate,a,4
254,urea,a,4
255,Anhydrous sodium sulfate,a,4
256,Asian formulation,a,4
257,Mediterranean formulation,a,4
258,Glacial acetic acid,a,4
259,Tyrosine,a,4
260,Lactoferrin,a,4
261,Glycidyltrimethylammonium Chloride,a,4
262,Quaternized Chitosan,a,4
263,Dihydroxybenzaldehyde,a,4
264,Alfalfa cellulose residue,a,4
265,zinc chloride,a,4
266,2-Methylimidazole,a,4
267,Zinc Nitrate Hexahydrate,a,4
268,Graphene oxide,a,4
269,Sodium citrate,a,4
270,sodium carbonate,a,4
271,Sodium chlorite,a,4
272,Allyl isothiocyanate,a,4
273,Calcium Lactate Gluconate,a,4
274,vitamin e,a,4
275,acetylation Monoglycerides,a,4
276,olive phenolic compounds,a,4
277,Zinc Nitrate,a,4
278,carboxymethyl cellulose,a,4
279,Carboxylated Nanoparticles,a,4
280,α-Cyclodextrin,a,4
281,Sodium Chlorate Tablets,a,4
282,Carboxymethyl chitosan,a,4
283,inulin,a,4
284,Cinnamaldehyde,a,4
285,N-Succinyl Chitosan,a,4
286,Carrageenan oligosaccharides,a,4
287,cellulose,a,4
288,hemicellulose,a,4
289,lignin,a,4
290,protein,a,4
291,extract,a,4
292,xylan,a,4
293,Mannan,a,4
294,olive leaf extract,a,4
295,olive leaf extract　pomace,a,4
296,Pomegranate Peel Extract,a,4
297,glycerin monostearate,a,4
298,glycerol General Merchandise Store,a,4
299,stearic acid General Merchandise Store,a,4
300,Total Glycerol,a,4
301,gluten,a,4
302,ammonium hydroxide,a,4
303,(3-Chloro-2-hydroxypropyl)trimethylammonium Chloride,a,4
304,Perilla frutescens L. essential oil,a,4
305,Sodium starch octenyl succinate,a,4
306,Hydroxypropyl methylcellulose,a,4
307,choline chloride,a,4
308,1-Ethyl-3-methylimidazolium Chloride,a,4
309,1-Butyl-3-methylpyridinium Bromide,a,4
310,Astaxanthin,a,4
311,d-Limonene,a,4
312,"10,12-Pentacosadiynoic Acid",a,4
313,Pirene,a,4
314,gamma-Cyclodextrin-based metal-organic framework（CD-MOF）,a,4
315,Curcumin included　γ-CD-MOF,a,4
316,Calcium chloride,a,4
317,Citrus peel extract,a,4
318,Carboxymethyl cellulose sodium salt,a,4
319,Sodium benzoate,a,4
320,Maleic Anhydride,a,4
321,low density polyethylene,a,4
322,polyamide 6,a,4
323,silica,a,4
324,clay,a,4
325,Polyolefin Elastomer,a,4
326,Waxy corn starch,a,4
327,Thymol,a,4
328,Tween 60,a,4
329,Roselle extract,a,4
330,Hydroxypropyl trimethyl ammonium chloride chitosan,a,4
331,Tea tree oil,a,4
332,Amphiphilic : Hydroxypropyl trimethyl ammonium chloride chitosan,a,4
333,low molecular weight chitosan,a,4
334,Sodium hypochlorite,a,4
335,Choline chloride,a,4
336,Tomato powder,a,4
337,derived from corn　Fibregum,a,4
338,derived from corn　Fibregum,a,4
339,Levulinic Acid,a,4
340,Allyl isothiocyanate,a,4
341,Guar gum,a,4
342,Candelilla wax,a,4
343,Hydroxypropyl-β-cyclodextrin complex,a,4
344,2-Hydroxypropyl-β-cyclodextrin complex,a,4
345,Potassium Chloride,a,4
346,benzalkonium chloride,a,4
347,Potassium Sorbate,a,4
348,Myrtle Essential Oil,a,4
349,nanocellulose,a,4
350,polyethylene glycol,a,4
351,2-Hydroxypropyl-β-cyclodextrin,a,4
352,Ethyl-Nα-lauroyl-L-arginine hydrochloride,a,4
353,Maltodextrin,a,4
354,Medium Chain Triglycerides,a,4
355,montmorillonite,"品質水準
100

フォーム
powder

表面積
~330 m2/g

pH
2.8-3.8

SMILES記法
[Si](=O)=O.[Si](=O)=O.[Si](=O)=O.[Si](=O)=O.[Al+3].[Al+3].[O-2].[O-2].[O-2].O

InChI
1S/2Al.4O2Si.H2O.3O/c;;4*1-3-2;;;;/h;;;;;;1H2;;;/q2*+3;;;;;;3*-2

InChI Key
GUJOJGAPFQRJSV-UHFFFAOYSA-N",4
356,ODEC,ODEC is rich in uronic acid,1
357,PSPA,PSPA,4
358,AgNPs,Antibacterial activity,4
359,PEG-600,25322-68-3,4
360,Sodium chloride,7647-14-5,4
361,carbon source,"グルコース
50-99-7",4
362,RmA,RmA,4
363,corn protein,"80%濃度の無水エタノールに溶解
アミノ酸名,化学式,SMILES,割合（mol%）
ロイシン (Leu),C6H13NO2,CC(C)CC(C(=O)O)N,20
プロリン (Pro),C5H9NO2,O=C(O)C1CCCN1,10
アラニン (Ala),C3H7NO2,CC(C(=O)O)N,9
フェニルアラニン (Phe),C9H11NO2,NC(CC1=CC=CC=C1)C(=O)O,6
グルタミン酸 (Glu),C5H9NO4,C(CC(=O)O)C(C(=O)O)N,5
イソロイシン (Ile),C6H13NO2,CC[C@H](C)[C@@H](C(=O)O)N,5
バリン (Val),C5H11NO2,CC(C)C(C(=O)O)N,5
セリン (Ser),C3H7NO3,NCC(C(=O)O)O,4
グリシン (Gly),C2H5NO2,NCC(=O)O,4
チロシン (Tyr),C9H11NO3,NC(CC1=CC=C(O)C=C1)C(=O)O,3",2
364,TG enzyme,"アミノ酸名,化学式,SMILES
グルタミン（Glutamine）,C5H10N2O3,NC(CC(=O)O)CCC(=O)N
リシン（Lysine）,C6H14N2O2,NCCCC[C@H](C(=O)O)N",2
365,chlorophyll sodium salt,CCC1=C(C2=NC1=CC3=C(C(=C([N-]3)C(=C4C(C(C(=N4)C=C5C(=C(C(=C2)[N-]5)C=C)C)C)CCC(=O)[O-])CC(=O)[O-])C(=O)[O-])C)C.[Na+].[Na+].[Na+].[Cu+2],4
366,total sugar,"| 単糖名 (英語名)       | 構造式 (SMILES)                                  |
| --------------- | --------------------------------------------- |
| **D-Glucose**   | `OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O`  |
| **D-Galactose** | `OC[C@H]1O[C@@H](O)[C@H](O)[C@H](O)[C@H]1O`   |
| **D-Mannose**   | `OC[C@H]1O[C@H](O)[C@@H](O)[C@H](O)[C@H]1O`   |
| **Arabinose**   | `OC[C@H]1O[C@H](O)[C@@H](O)[C@H]1O`           |
| **Xylose**      | `OC[C@H]1O[C@H](O)[C@H](O)[C@H]1O`            |
| **Rhamnose**    | `OC[C@H]1O[C@H](O)[C@@H](O)[C@H](CH3)[C@H]1O` |",1
367,uronic acid,OC[C@H]1O[C@@H](O)[C@H](O)[C@H](COOH)[C@H]1O,1
368,ciral,CC(=C)CCC=C(C)C=O,4
369,ε-Poly-L-lysine,CC(C(=O)O)NC(CCCCN)C(=O)O,2
370,Rhamnolipid,CC(C)C1C(C(C(C(O1)C(=O)OCCCCC(=O)O)O)O)O,3
371,garlic essential oil,"物質名,SMILES構造式,分子量 (g/mol)
アリシン (Allicin),CS(=O)SC=C,162.27
ジアリルジスルフィド (DADS),C=CCSSCC=C,178.32
ジアリルトリスルフィド (DATS),C=CCSSSCC=C,210.39
アジョエン (Ajoene),C=CCSP(=O)(OCC=C)SC=C,234.34",4
372,xyloglucan,"OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@H](CO)O2)[C@H](O)[C@@H](O)[C@H]1O,504.44",1
373,Borassus flabellifer seed coat extract（BFE）,"クエルセチン（Flavonoid）	C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O	302.24
エピガロカテキン（Tannin類）	C1[C@@H]([C@H](O)[C@@H](O1)OC2=CC(=C(C(=C2)O)O)O)OC3=CC(=C(C(=C3)O)O)O	458.4
リモネン（Terpenoid）	CC1=CCC(CC1)C(=C)C	136.23",4
374,gallic acid,C1=C(C=C(C(=C1O)O)O)C(=O)O,4
375,chitosan (DD81),"単位名	組成比	SMILES記法	分子式
グルコサミン単位	81%	C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)N)O)O)O	C6H13NO5
N-アセチルグルコサミン単位	19%	CC(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O	C8H15NO6",1
376,chitosan(DD88.1),"単位名	組成比	SMILES記法	分子式
グルコサミン単位	88.1%	C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)N)O)O)O	C6H13NO5
N-アセチルグルコサミン単位	11.9%	CC(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O	C8H15NO6",1
377,chitosan (DD95.2),"単位名	組成比	SMILES記法	分子式
グルコサミン単位	95.2%	C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)N)O)O)O	C6H13NO5
N-アセチルグルコサミン単位	4.8%	CC(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O	C8H15NO6",1
