composition_id,material_id,concentration,name,charactaristic
48,87,1.0,chitosan nanoparticles,"Nanoparticles derived from chitosan, used for their antimicrobial and biocompatible properties."
49,48,1.5,sodium alginate,"A sodium salt of alginic acid, used as a gelling agent and stabilizer in food."
49,152,0.05,zinc oxide nanoparticles,ZnO nanoparticles used in antibacterial coatings and food packaging.
50,87,1.0,chitosan nanoparticles,"Nanoparticles derived from chitosan, used for their antimicrobial and biocompatible properties."
50,152,0.05,zinc oxide nanoparticles,ZnO nanoparticles used in antibacterial coatings and food packaging.
51,144,0.0,control,Material used as a baseline in experiments.
52,169,1.5,chitosan,"A biopolymer derived from chitin, used for its antimicrobial and film-forming properties."
52,23,0.5,glycerol,"A sugar alcohol used as a humectant, solvent, and sweetener in food and pharmaceuticals."
52,153,0.4,hawthorn leaf extract,"An extract from hawthorn leaves, rich in antioxidants and used in herbal remedies."
53,169,1.5,chitosan,"A biopolymer derived from chitin, used for its antimicrobial and film-forming properties."
53,23,0.5,glycerol,"A sugar alcohol used as a humectant, solvent, and sweetener in food and pharmaceuticals."
53,153,0.7,hawthorn leaf extract,"An extract from hawthorn leaves, rich in antioxidants and used in herbal remedies."
54,169,1.5,chitosan,"A biopolymer derived from chitin, used for its antimicrobial and film-forming properties."
54,23,0.5,glycerol,"A sugar alcohol used as a humectant, solvent, and sweetener in food and pharmaceuticals."
54,153,1.0,hawthorn leaf extract,"An extract from hawthorn leaves, rich in antioxidants and used in herbal remedies."
55,144,0.0,control,Material used as a baseline in experiments.
57,16,27.97,aloe vera,"A plant extract known for its hydrating and soothing properties, used in cosmetics and health products."
57,14,1.39,hydroxypropylemethylcellulose,A cellulose derivative used as a thickener and emulsifier in food and pharmaceuticals.
57,154,0.7,pomegranate seed oil,"An oil rich in antioxidants and fatty acids, used in cosmetics and health products."
58,16,28.37,aloe vera,"A plant extract known for its hydrating and soothing properties, used in cosmetics and health products."
58,14,0.71,hydroxypropylemethylcellulose,A cellulose derivative used as a thickener and emulsifier in food and pharmaceuticals.
60,144,0.0,control,Material used as a baseline in experiments.
59,52,4.0,polyvinyl alcohol,A synthetic polymer used in food coatings and packaging for its film-forming properties.
61,52,4.0,polyvinyl alcohol,A synthetic polymer used in food coatings and packaging for its film-forming properties.
61,156,0.18,silver-coated silica nanoparticles,"Nanoparticles with a silver coating, used for their antimicrobial properties."
62,52,4.0,polyvinyl alcohol,A synthetic polymer used in food coatings and packaging for its film-forming properties.
62,97,0.4,hydrogen peroxide,A chemical compound used as a bleaching agent and disinfectant.
62,156,0.18,silver-coated silica nanoparticles,"Nanoparticles with a silver coating, used for their antimicrobial properties."
63,144,0.0,control,Material used as a baseline in experiments.
64,77,1.0,carboxy-methyl cellulose,A cellulose derivative used as a thickener and stabilizer in food and pharmaceuticals.
64,3,0.5,cellulose nanofiber,"A nanoscale material derived from cellulose, used for its strength and biocompatibility."
65,77,1.0,carboxy-methyl cellulose,A cellulose derivative used as a thickener and stabilizer in food and pharmaceuticals.
65,3,0.5,cellulose nanofiber,"A nanoscale material derived from cellulose, used for its strength and biocompatibility."
65,26,0.0015,tween 80,"An emulsifier used in food, pharmaceuticals, and cosmetics for stabilizing oil-water mixtures."
65,125,0.0025,oleic acid,"A monounsaturated fatty acid found in oils like olive oil, used for health benefits."
65,157,0.05,mandarin essential oil,"An essential oil extracted from mandarin peel, known for its sweet aroma."
66,77,1.0,carboxy-methyl cellulose,A cellulose derivative used as a thickener and stabilizer in food and pharmaceuticals.
66,3,0.5,cellulose nanofiber,"A nanoscale material derived from cellulose, used for its strength and biocompatibility."
66,26,0.003,tween 80,"An emulsifier used in food, pharmaceuticals, and cosmetics for stabilizing oil-water mixtures."
66,125,0.005,oleic acid,"A monounsaturated fatty acid found in oils like olive oil, used for health benefits."
66,157,0.1,mandarin essential oil,"An essential oil extracted from mandarin peel, known for its sweet aroma."
67,77,1.0,carboxy-methyl cellulose,A cellulose derivative used as a thickener and stabilizer in food and pharmaceuticals.
67,3,0.5,cellulose nanofiber,"A nanoscale material derived from cellulose, used for its strength and biocompatibility."
67,26,0.006,tween 80,"An emulsifier used in food, pharmaceuticals, and cosmetics for stabilizing oil-water mixtures."
67,125,0.01,oleic acid,"A monounsaturated fatty acid found in oils like olive oil, used for health benefits."
67,157,0.2,mandarin essential oil,"An essential oil extracted from mandarin peel, known for its sweet aroma."
68,77,1.0,carboxy-methyl cellulose,A cellulose derivative used as a thickener and stabilizer in food and pharmaceuticals.
68,3,0.5,cellulose nanofiber,"A nanoscale material derived from cellulose, used for its strength and biocompatibility."
68,26,0.009,tween 80,"An emulsifier used in food, pharmaceuticals, and cosmetics for stabilizing oil-water mixtures."
68,125,0.015,oleic acid,"A monounsaturated fatty acid found in oils like olive oil, used for health benefits."
68,157,0.3,mandarin essential oil,"An essential oil extracted from mandarin peel, known for its sweet aroma."
69,3,0.5,cellulose nanofiber,"A nanoscale material derived from cellulose, used for its strength and biocompatibility."
69,26,0.012,tween 80,"An emulsifier used in food, pharmaceuticals, and cosmetics for stabilizing oil-water mixtures."
69,77,1.0,carboxy-methyl cellulose,A cellulose derivative used as a thickener and stabilizer in food and pharmaceuticals.
69,125,0.02,oleic acid,"A monounsaturated fatty acid found in oils like olive oil, used for health benefits."
69,157,0.4,mandarin essential oil,"An essential oil extracted from mandarin peel, known for its sweet aroma."
70,159,20.83,carnauba wax,"A natural wax from the leaves of the carnauba palm, used in coatings and cosmetics."
70,160,6.25,ammonia,A chemical compound used in food and industrial applications.
71,159,20.83,carnauba wax,"A natural wax from the leaves of the carnauba palm, used in coatings and cosmetics."
71,160,6.25,ammonia,A chemical compound used in food and industrial applications.
71,158,1.0,orange peel essential oil,"An oil extracted from orange peel, used for its fragrance and antibacterial properties."
72,159,20.83,carnauba wax,"A natural wax from the leaves of the carnauba palm, used in coatings and cosmetics."
72,160,6.25,ammonia,A chemical compound used in food and industrial applications.
72,158,2.0,orange peel essential oil,"An oil extracted from orange peel, used for its fragrance and antibacterial properties."
73,159,20.83,carnauba wax,"A natural wax from the leaves of the carnauba palm, used in coatings and cosmetics."
73,160,6.25,ammonia,A chemical compound used in food and industrial applications.
73,158,3.0,orange peel essential oil,"An oil extracted from orange peel, used for its fragrance and antibacterial properties."
74,159,20.83,carnauba wax,"A natural wax from the leaves of the carnauba palm, used in coatings and cosmetics."
74,160,6.25,ammonia,A chemical compound used in food and industrial applications.
74,158,4.0,orange peel essential oil,"An oil extracted from orange peel, used for its fragrance and antibacterial properties."
75,159,20.83,carnauba wax,"A natural wax from the leaves of the carnauba palm, used in coatings and cosmetics."
75,160,6.25,ammonia,A chemical compound used in food and industrial applications.
75,158,5.0,orange peel essential oil,"An oil extracted from orange peel, used for its fragrance and antibacterial properties."
76,148,0.02,sodium nitroprusside (SNP),A chemical compound used as a nitric oxide donor in research.
76,80,2.0,beeswax,"A natural wax produced by honeybees, used in food coatings and cosmetics."
76,125,2.0,oleic acid,"A monounsaturated fatty acid found in oils like olive oil, used for health benefits."
76,161,6.0,triethanolamine,A chemical used as a pH adjuster in cosmetics and industrial products.
77,148,0.03,sodium nitroprusside (SNP),A chemical compound used as a nitric oxide donor in research.
77,80,2.0,beeswax,"A natural wax produced by honeybees, used in food coatings and cosmetics."
77,125,2.0,oleic acid,"A monounsaturated fatty acid found in oils like olive oil, used for health benefits."
77,161,6.0,triethanolamine,A chemical used as a pH adjuster in cosmetics and industrial products.
78,148,0.05,sodium nitroprusside (SNP),A chemical compound used as a nitric oxide donor in research.
78,80,2.0,beeswax,"A natural wax produced by honeybees, used in food coatings and cosmetics."
78,125,2.0,oleic acid,"A monounsaturated fatty acid found in oils like olive oil, used for health benefits."
78,161,6.0,triethanolamine,A chemical used as a pH adjuster in cosmetics and industrial products.
79,80,2.0,beeswax,"A natural wax produced by honeybees, used in food coatings and cosmetics."
79,125,2.0,oleic acid,"A monounsaturated fatty acid found in oils like olive oil, used for health benefits."
79,161,6.0,triethanolamine,A chemical used as a pH adjuster in cosmetics and industrial products.
80,144,0.0,control,Material used as a baseline in experiments.
81,158,0.525,orange peel essential oil,"An oil extracted from orange peel, used for its fragrance and antibacterial properties."
82,137,0.4,eucalyptus essential oil,"An essential oil with a fresh, minty scent, used for its antimicrobial properties."
83,158,0.2625,orange peel essential oil,"An oil extracted from orange peel, used for its fragrance and antibacterial properties."
83,137,0.2,eucalyptus essential oil,"An essential oil with a fresh, minty scent, used for its antimicrobial properties."
84,144,0.0,control,Material used as a baseline in experiments.
85,144,0.0,control,Material used as a baseline in experiments.
86,16,40.0,aloe vera,"A plant extract known for its hydrating and soothing properties, used in cosmetics and health products."
87,16,40.0,aloe vera,"A plant extract known for its hydrating and soothing properties, used in cosmetics and health products."
87,14,0.1,hydroxypropylemethylcellulose,A cellulose derivative used as a thickener and emulsifier in food and pharmaceuticals.
88,16,40.0,aloe vera,"A plant extract known for its hydrating and soothing properties, used in cosmetics and health products."
88,30,1.0,lemon essential oil,"An oil extracted from lemon peel, used for its refreshing scent and antibacterial properties."
91,87,3.0,chitosan nanoparticles,"Nanoparticles derived from chitosan, used for their antimicrobial and biocompatible properties."
92,87,1.0,chitosan nanoparticles,"Nanoparticles derived from chitosan, used for their antimicrobial and biocompatible properties."
92,30,2.0,lemon essential oil,"An oil extracted from lemon peel, used for its refreshing scent and antibacterial properties."
93,87,1.0,chitosan nanoparticles,"Nanoparticles derived from chitosan, used for their antimicrobial and biocompatible properties."
93,165,2.0,ocimum tenuiflorum leaf,"Leaves from holy basil, used for their medicinal and aromatic properties."
94,87,2.0,chitosan nanoparticles,"Nanoparticles derived from chitosan, used for their antimicrobial and biocompatible properties."
94,30,2.0,lemon essential oil,"An oil extracted from lemon peel, used for its refreshing scent and antibacterial properties."
94,165,2.0,ocimum tenuiflorum leaf,"Leaves from holy basil, used for their medicinal and aromatic properties."
95,144,0.0,control,Material used as a baseline in experiments.
99,144,0.0,control,Material used as a baseline in experiments.
106,23,1.0,glycerol,"A sugar alcohol used as a humectant, solvent, and sweetener in food and pharmaceuticals."
106,4,2.0,agar,"A gelatinous substance obtained from seaweed, widely used as a gelling agent in food and microbiology."
107,23,1.0,glycerol,"A sugar alcohol used as a humectant, solvent, and sweetener in food and pharmaceuticals."
107,4,3.0,agar,"A gelatinous substance obtained from seaweed, widely used as a gelling agent in food and microbiology."
108,144,0.0,control,Material used as a baseline in experiments.
117,87,0.2,chitosan nanoparticles,"Nanoparticles derived from chitosan, used for their antimicrobial and biocompatible properties."
117,75,0.05,cajuput essential oil,"An essential oil extracted from cajuput leaves, used for its antiseptic properties."
123,74,1.0,1-methylcyclopropene,A synthetic compound used to delay fruit ripening and extend shelf life.
123,4,1.0,agar,"A gelatinous substance obtained from seaweed, widely used as a gelling agent in food and microbiology."
124,144,0.0,control,Material used as a baseline in experiments.
125,169,1.0,chitosan,"A biopolymer derived from chitin, used for its antimicrobial and film-forming properties."
126,96,1.0,ascorbic acid,"Also known as vitamin C, used as an antioxidant and preservative in food."
127,169,1.0,chitosan,"A biopolymer derived from chitin, used for its antimicrobial and film-forming properties."
127,96,1.0,ascorbic acid,"Also known as vitamin C, used as an antioxidant and preservative in food."
129,13,100.0,alginate,"A polysaccharide extracted from brown algae, used as a gelling and thickening agent."
130,144,0.0,control,Material used as a baseline in experiments.
131,170,3.0,carboxymethyl cellulose,A cellulose derivative used as a thickener and stabilizer in food and cosmetics.
131,154,0.1,pomegranate seed oil,"An oil rich in antioxidants and fatty acids, used in cosmetics and health products."
132,170,3.0,carboxymethyl cellulose,A cellulose derivative used as a thickener and stabilizer in food and cosmetics.
132,154,1.0,pomegranate seed oil,"An oil rich in antioxidants and fatty acids, used in cosmetics and health products."
133,170,3.0,carboxymethyl cellulose,A cellulose derivative used as a thickener and stabilizer in food and cosmetics.
133,154,2.0,pomegranate seed oil,"An oil rich in antioxidants and fatty acids, used in cosmetics and health products."
134,170,3.0,carboxymethyl cellulose,A cellulose derivative used as a thickener and stabilizer in food and cosmetics.
134,154,3.0,pomegranate seed oil,"An oil rich in antioxidants and fatty acids, used in cosmetics and health products."
135,144,100.0,control,Material used as a baseline in experiments.
137,144,100.0,control,Material used as a baseline in experiments.
138,113,3.23,chia seed mucilage,"A gel-like substance derived from chia seeds, used as a stabilizer and thickener."
139,113,3.21,chia seed mucilage,"A gel-like substance derived from chia seeds, used as a stabilizer and thickener."
139,3,0.6,cellulose nanofiber,"A nanoscale material derived from cellulose, used for its strength and biocompatibility."
140,113,3.2,chia seed mucilage,"A gel-like substance derived from chia seeds, used as a stabilizer and thickener."
140,3,0.8,cellulose nanofiber,"A nanoscale material derived from cellulose, used for its strength and biocompatibility."
141,144,1.0,control,Material used as a baseline in experiments.
143,171,2.5,flaxseed mucilage (Mu),"A mucilage derived from flaxseeds, used for its thickening and film-forming properties."
144,171,5.0,flaxseed mucilage (Mu),"A mucilage derived from flaxseeds, used for its thickening and film-forming properties."
145,171,2.5,flaxseed mucilage (Mu),"A mucilage derived from flaxseeds, used for its thickening and film-forming properties."
145,172,1.0,postbiotics,"Metabolic byproducts of probiotics, used for their health benefits."
147,171,5.0,flaxseed mucilage (Mu),"A mucilage derived from flaxseeds, used for its thickening and film-forming properties."
147,172,1.0,postbiotics,"Metabolic byproducts of probiotics, used for their health benefits."
148,173,3.0,gum arabic,"A natural gum derived from acacia trees, used as a stabilizer and emulsifier."
148,29,1.0,lemongrass oil,"An essential oil with a citrus scent, used in aromatherapy and as a natural preservative."
149,174,0.5,carrageenan,"A polysaccharide extracted from red algae, used for its gelling properties."
149,29,1.0,lemongrass oil,"An essential oil with a citrus scent, used in aromatherapy and as a natural preservative."
150,147,0.1,xanthan gum,A polysaccharide used as a thickener and stabilizer in food products.
150,29,1.0,lemongrass oil,"An essential oil with a citrus scent, used in aromatherapy and as a natural preservative."
151,144,0.0,control,Material used as a baseline in experiments.
154,144,0.0,control,Material used as a baseline in experiments.
155,175,2.0,peach gum,"A natural polysaccharide with film-forming and antioxidant properties, secreted by peach trees."
155,23,0.2,glycerol,"A sugar alcohol used as a humectant, solvent, and sweetener in food and pharmaceuticals."
156,175,1.4,peach gum,"A natural polysaccharide with film-forming and antioxidant properties, secreted by peach trees."
156,23,0.2,glycerol,"A sugar alcohol used as a humectant, solvent, and sweetener in food and pharmaceuticals."
156,169,0.6,chitosan,"A biopolymer derived from chitin, used for its antimicrobial and film-forming properties."
153,144,0.0,control,Material used as a baseline in experiments.
157,48,2.0,sodium alginate,"A sodium salt of alginic acid, used as a gelling agent and stabilizer in food."
157,23,1.5,glycerol,"A sugar alcohol used as a humectant, solvent, and sweetener in food and pharmaceuticals."
158,48,2.0,sodium alginate,"A sodium salt of alginic acid, used as a gelling agent and stabilizer in food."
158,23,1.5,glycerol,"A sugar alcohol used as a humectant, solvent, and sweetener in food and pharmaceuticals."
158,176,0.0,lactobacillus paracasei (LPC),A probiotic strain used for gut health and food preservation.
159,48,2.0,sodium alginate,"A sodium salt of alginic acid, used as a gelling agent and stabilizer in food."
159,23,1.5,glycerol,"A sugar alcohol used as a humectant, solvent, and sweetener in food and pharmaceuticals."
159,177,0.0,lactobacillus rhamnosus (LGG),A probiotic strain known for its digestive health benefits.
160,48,2.0,sodium alginate,"A sodium salt of alginic acid, used as a gelling agent and stabilizer in food."
160,23,1.5,glycerol,"A sugar alcohol used as a humectant, solvent, and sweetener in food and pharmaceuticals."
160,178,0.0,lactobacillus plantarum (LP),A probiotic strain with antimicrobial and digestive health properties.
161,175,1.0,peach gum,"A natural polysaccharide with film-forming and antioxidant properties, secreted by peach trees."
161,23,0.2,glycerol,"A sugar alcohol used as a humectant, solvent, and sweetener in food and pharmaceuticals."
161,169,1.0,chitosan,"A biopolymer derived from chitin, used for its antimicrobial and film-forming properties."
162,175,0.6,peach gum,"A natural polysaccharide with film-forming and antioxidant properties, secreted by peach trees."
162,23,0.2,glycerol,"A sugar alcohol used as a humectant, solvent, and sweetener in food and pharmaceuticals."
162,169,1.4,chitosan,"A biopolymer derived from chitin, used for its antimicrobial and film-forming properties."
163,23,0.2,glycerol,"A sugar alcohol used as a humectant, solvent, and sweetener in food and pharmaceuticals."
163,169,2.0,chitosan,"A biopolymer derived from chitin, used for its antimicrobial and film-forming properties."
164,144,0.0,control,Material used as a baseline in experiments.
165,179,1.5,locust bean gum,"A polysaccharide derived from carob seeds, used as a thickener and stabilizer."
165,23,0.22,glycerol,"A sugar alcohol used as a humectant, solvent, and sweetener in food and pharmaceuticals."
166,179,1.5,locust bean gum,"A polysaccharide derived from carob seeds, used as a thickener and stabilizer."
166,23,0.22,glycerol,"A sugar alcohol used as a humectant, solvent, and sweetener in food and pharmaceuticals."
166,69,0.033,nanofibrillated cellulose,A nanoscale cellulose material used as a reinforcement in composites and coatings.
166,82,0.002,curcumin,"A natural compound found in turmeric, known for its antioxidant and anti-inflammatory properties."
166,180,0.43,pracaxi nut oil,"An oil rich in behenic acid, used for hair care and anti-aging applications."
167,179,1.5,locust bean gum,"A polysaccharide derived from carob seeds, used as a thickener and stabilizer."
167,23,0.22,glycerol,"A sugar alcohol used as a humectant, solvent, and sweetener in food and pharmaceuticals."
167,69,0.033,nanofibrillated cellulose,A nanoscale cellulose material used as a reinforcement in composites and coatings.
167,82,0.002,curcumin,"A natural compound found in turmeric, known for its antioxidant and anti-inflammatory properties."
167,181,0.43,extra virgin olive oil,"High-quality olive oil extracted without heating, known for its health benefits."
168,144,0.0,control,Material used as a baseline in experiments.
170,169,0.5,chitosan,"A biopolymer derived from chitin, used for its antimicrobial and film-forming properties."
170,41,0.5,gelatin,"A protein derived from collagen, used as a gelling agent in food and pharmaceuticals."
171,169,0.7,chitosan,"A biopolymer derived from chitin, used for its antimicrobial and film-forming properties."
171,41,0.2,gelatin,"A protein derived from collagen, used as a gelling agent in food and pharmaceuticals."
171,183,0.001,hyaluronic acid,A biopolymer used for its hydrating and skin-plumping properties.
172,169,0.6,chitosan,"A biopolymer derived from chitin, used for its antimicrobial and film-forming properties."
172,41,0.2,gelatin,"A protein derived from collagen, used as a gelling agent in food and pharmaceuticals."
172,183,0.002,hyaluronic acid,A biopolymer used for its hydrating and skin-plumping properties.
173,169,0.5,chitosan,"A biopolymer derived from chitin, used for its antimicrobial and film-forming properties."
173,41,0.2,gelatin,"A protein derived from collagen, used as a gelling agent in food and pharmaceuticals."
173,183,0.003,hyaluronic acid,A biopolymer used for its hydrating and skin-plumping properties.
174,184,100.0,gellan gum (GG),A polysaccharide used as a gelling agent in food and biotechnology.
174,23,0.8,glycerol,"A sugar alcohol used as a humectant, solvent, and sweetener in food and pharmaceuticals."
174,185,100.0,methyl red,A pH indicator dye used in microbiology and chemistry.
174,186,100.0,bromothymol blue (BTB),A pH indicator dye used in laboratory applications.
175,48,100.0,sodium alginate,"A sodium salt of alginic acid, used as a gelling agent and stabilizer in food."
175,77,100.0,carboxy-methyl cellulose,A cellulose derivative used as a thickener and stabilizer in food and pharmaceuticals.
175,23,0.9,glycerol,"A sugar alcohol used as a humectant, solvent, and sweetener in food and pharmaceuticals."
175,187,6.0,tannin acid,A polyphenol used in leather tanning and as astringent in medicine.
176,184,100.0,gellan gum (GG),A polysaccharide used as a gelling agent in food and biotechnology.
176,23,0.8,glycerol,"A sugar alcohol used as a humectant, solvent, and sweetener in food and pharmaceuticals."
176,185,100.0,methyl red,A pH indicator dye used in microbiology and chemistry.
176,186,100.0,bromothymol blue (BTB),A pH indicator dye used in laboratory applications.
176,48,100.0,sodium alginate,"A sodium salt of alginic acid, used as a gelling agent and stabilizer in food."
176,170,100.0,carboxymethyl cellulose,A cellulose derivative used as a thickener and stabilizer in food and cosmetics.
176,23,0.9,glycerol,"A sugar alcohol used as a humectant, solvent, and sweetener in food and pharmaceuticals."
176,187,2.0,tannin acid,A polyphenol used in leather tanning and as astringent in medicine.
177,184,100.0,gellan gum (GG),A polysaccharide used as a gelling agent in food and biotechnology.
177,23,0.8,glycerol,"A sugar alcohol used as a humectant, solvent, and sweetener in food and pharmaceuticals."
177,185,100.0,methyl red,A pH indicator dye used in microbiology and chemistry.
177,186,100.0,bromothymol blue (BTB),A pH indicator dye used in laboratory applications.
177,48,100.0,sodium alginate,"A sodium salt of alginic acid, used as a gelling agent and stabilizer in food."
177,170,100.0,carboxymethyl cellulose,A cellulose derivative used as a thickener and stabilizer in food and cosmetics.
177,23,0.9,glycerol,"A sugar alcohol used as a humectant, solvent, and sweetener in food and pharmaceuticals."
177,187,4.0,tannin acid,A polyphenol used in leather tanning and as astringent in medicine.
178,184,100.0,gellan gum (GG),A polysaccharide used as a gelling agent in food and biotechnology.
178,23,0.8,glycerol,"A sugar alcohol used as a humectant, solvent, and sweetener in food and pharmaceuticals."
178,185,100.0,methyl red,A pH indicator dye used in microbiology and chemistry.
178,186,100.0,bromothymol blue (BTB),A pH indicator dye used in laboratory applications.
178,48,100.0,sodium alginate,"A sodium salt of alginic acid, used as a gelling agent and stabilizer in food."
178,170,100.0,carboxymethyl cellulose,A cellulose derivative used as a thickener and stabilizer in food and cosmetics.
178,23,0.9,glycerol,"A sugar alcohol used as a humectant, solvent, and sweetener in food and pharmaceuticals."
178,187,6.0,tannin acid,A polyphenol used in leather tanning and as astringent in medicine.
179,144,100.0,control,Material used as a baseline in experiments.
180,188,1.0,silk fibroin,"A protein derived from silk, used for its strength and biocompatibility."
181,188,1.0,silk fibroin,"A protein derived from silk, used for its strength and biocompatibility."
181,189,0.1,silk protease inhibitors,"Proteins that inhibit proteases, used in biomedical applications."
182,188,1.0,silk fibroin,"A protein derived from silk, used for its strength and biocompatibility."
183,188,1.0,silk fibroin,"A protein derived from silk, used for its strength and biocompatibility."
182,189,0.03,silk protease inhibitors,"Proteins that inhibit proteases, used in biomedical applications."
183,189,0.05,silk protease inhibitors,"Proteins that inhibit proteases, used in biomedical applications."
184,144,0.0,control,Material used as a baseline in experiments.
185,169,1.0,chitosan,"A biopolymer derived from chitin, used for its antimicrobial and film-forming properties."
186,170,1.5,carboxymethyl cellulose,A cellulose derivative used as a thickener and stabilizer in food and cosmetics.
186,169,1.0,chitosan,"A biopolymer derived from chitin, used for its antimicrobial and film-forming properties."
187,169,1.0,chitosan,"A biopolymer derived from chitin, used for its antimicrobial and film-forming properties."
187,108,1.0,sodium tripolyphosphate,A compound used as a food preservative and texturizer.
189,169,1.0,chitosan,"A biopolymer derived from chitin, used for its antimicrobial and film-forming properties."
189,108,1.0,sodium tripolyphosphate,A compound used as a food preservative and texturizer.
189,190,10.0,thyme essential oil (TEO),"An essential oil with antimicrobial and aromatic properties, derived from thyme."
190,144,0.0,control,Material used as a baseline in experiments.
191,144,0.0,control,Material used as a baseline in experiments.
